Time;A;Labels
2020-02-26T17:56:45+01:00;0;-1
2020-02-26T17:57:00+01:00;0.02222222222222222;-1
2020-02-26T17:57:15+01:00;5,77765E+14;1
2020-02-26T17:57:30+01:00;5.8;-1
2020-02-26T17:57:45+01:00;1,15111E+16;1
2020-02-26T17:58:00+01:00;5,75556E+16;1
2020-02-26T17:58:15+01:00;5,73333E+15;1
2020-02-26T17:58:30+01:00;0;-1
2020-02-26T17:58:45+01:00;0;-1
2020-02-26T17:59:00+01:00;0.0666681481810707;-1
2020-02-26T17:59:15+01:00;0.06667407489721079;-1
2020-02-26T17:59:30+01:00;0.06666814818107068;-1
2020-02-26T17:59:45+01:00;5,77765E+14;1
2020-02-26T18:00:00+01:00;1,15336E+16;1
2020-02-26T18:00:15+01:00;1,15333E+16;1
2020-02-26T18:00:30+01:00;1,14886E+16;1
2020-02-26T18:00:45+01:00;5,84457E+15;1
2020-02-26T18:01:00+01:00;5,84444E+15;1
2020-02-26T18:01:15+01:00;0.11111604960220454;-1
2020-02-26T18:01:30+01:00;0.02222123461179503;-1
2020-02-26T18:01:45+01:00;5,82235E+15;1
2020-02-26T18:02:00+01:00;5,84431E+15;1
2020-02-26T18:02:15+01:00;5,95569E+15;1
2020-02-26T18:02:30+01:00;0.17777777777777776;-1
2020-02-26T18:02:45+01:00;6,08902E+14;1
2020-02-26T18:03:00+01:00;5,95556E+15;1
2020-02-26T18:03:15+01:00;1,18222E+16;1
2020-02-26T18:03:30+01:00;5,88863E+15;1
2020-02-26T18:03:45+01:00;1,17556E+16;1
2020-02-26T18:04:00+01:00;5,88889E+15;1
2020-02-26T18:04:15+01:00;5,88902E+15;1
2020-02-26T18:04:30+01:00;0.04444444444444444;-1
2020-02-26T18:04:45+01:00;5,91085E+15;1
2020-02-26T18:05:00+01:00;5,91124E+15;1
2020-02-26T18:05:15+01:00;5,88889E+15;1
2020-02-26T18:05:30+01:00;0;-1
2020-02-26T18:05:45+01:00;0;-1
2020-02-26T18:06:00+01:00;0.0222227160603569;-1
2020-02-26T18:06:15+01:00;5,91111E+16;1
2020-02-26T18:06:30+01:00;5,91111E+16;-1
2020-02-26T18:06:45+01:00;1,1755E+16;1
2020-02-26T18:07:00+01:00;5,88797E+15;1
2020-02-26T18:07:15+01:00;5,88902E+15;1
2020-02-26T18:07:30+01:00;5,88902E+15;-1
2020-02-26T18:07:45+01:00;5,93439E+15;-1
2020-02-26T18:08:00+01:00;5,9332E+15;-1
2020-02-26T18:08:15+01:00;0.06666518521810627;-1
2020-02-26T18:08:30+01:00;0;-1
2020-02-26T18:08:45+01:00;5,88902E+15;1
2020-02-26T18:09:00+01:00;5,88915E+14;1
2020-02-26T18:09:15+01:00;1,17558E+16;1
2020-02-26T18:09:30+01:00;5,8668E+15;1
2020-02-26T18:09:45+01:00;5,88876E+15;1
2020-02-26T18:10:00+01:00;0.02222222222222222;1
2020-02-26T18:10:15+01:00;5,88876E+15;-1
2020-02-26T18:10:30+01:00;5,8668E+15;-1
2020-02-26T18:10:45+01:00;1,17111E+15;1
2020-02-26T18:11:00+01:00;5,86654E+15;1
2020-02-26T18:11:15+01:00;1,17106E+15;1
2020-02-26T18:11:30+01:00;5,86667E+15;-1
