Series;Time;Value;
mysql_mysql.mean;2020-02-26T12:13:52+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:13:52+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:13:53+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:13:53+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:13:54+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:13:54+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:13:55+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:13:55+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:13:56+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:13:56+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:13:57+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:13:57+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:13:58+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:13:58+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:13:59+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:13:59+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:00+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:00+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:01+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:01+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:02+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:02+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:03+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:03+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:04+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:04+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:05+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:05+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:06+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:06+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:07+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:07+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:08+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:08+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:09+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:09+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:10+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:10+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:11+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:11+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:12+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:12+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:13+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:13+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:14+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:14+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:15+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:15+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:16+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:16+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:17+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:17+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:18+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:18+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:19+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:19+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:20+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:20+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:21+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:21+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:22+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:22+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:23+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:23+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:24+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:24+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:25+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:25+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:26+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:26+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:27+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:27+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:28+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:28+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:29+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:29+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:30+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:30+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:31+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:31+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:32+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:32+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:33+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:33+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:34+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:34+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:35+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:35+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:36+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:36+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:37+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:37+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:38+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:38+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:39+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:39+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:40+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:40+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:41+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:41+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:42+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:42+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:43+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:43+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:44+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:44+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:45+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:45+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:46+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:46+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:47+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:47+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:48+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:48+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:49+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:49+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:50+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:50+01:00;null;-1
mysql_mysql.mean;2020-02-26T12:14:51+01:00;null;-1
