Time;win_disk(N);win_cpu(%);Labels
2020-04-02T17:08:10+02:00;0;30,42;35
2020-04-02T17:08:15+02:00;0;30,44;0
2020-04-02T17:08:50+02:00;0;30,44;0
2020-04-02T17:08:55+02:00;0;30,64;0
2020-04-02T17:09:00+02:00;79,69;30,64;0
2020-04-02T17:09:05+02:00;79,69;31,21;0
2020-04-02T17:09:10+02:00;125;31,21;0
2020-04-02T17:09:15+02:00;125;35,61;0
2020-04-02T17:09:20+02:00;156,25;35,61;0
2020-04-02T17:09:25+02:00;156,25;36,15;0
2020-04-02T17:09:30+02:00;218,76;36,15;0
2020-04-02T17:09:35+02:00;218,76;36,83;0
2020-04-02T17:10:00+02:00;1043,19;36,83;0
2020-04-02T17:10:05+02:00;1043,19;36,92;0
2020-04-02T17:10:10+02:00;1093,77;36,92;0
2020-04-02T17:10:15+02:00;1093,77;36,97;0
2020-04-02T17:11:45+02:00;1390,7;37,78;0
2020-04-02T17:12:10+02:00;1406,24;37,78;0
2020-04-02T17:12:15+02:00;1406,24;37,83;0
2020-04-02T17:12:20+02:00;1406,28;37,83;0
2020-04-02T17:12:25+02:00;1406,28;38,18;0
2020-04-02T17:12:30+02:00;1406,36;38,18;0
2020-04-02T17:12:35+02:00;1406,36;38,22;0
2020-04-02T17:12:40+02:00;1406,42;38,22;0
2020-04-02T17:12:45+02:00;1406,42;38,26;0
2020-04-02T17:13:00+02:00;1552,09;38,26;0
2020-04-02T17:13:05+02:00;1552,09;38,43;0
2020-04-02T17:13:20+02:00;1553,76;38,43;0
2020-04-02T17:13:25+02:00;1553,76;38,55;0
2020-04-02T17:13:30+02:00;1562,23;38,55;0
2020-04-02T17:14:20+02:00;1718,85;39,47;0
2020-04-02T17:14:25+02:00;1718,85;39,53;0
2020-04-02T17:14:30+02:00;1934,72;39,53;0
2020-04-02T17:14:35+02:00;1934,72;40,62;0
2020-04-02T17:14:40+02:00;2031,18;40,62;0
